time,RHI1_X,RHI1_Y,RHI1_Z,RHI2_X,RHI2_Y,RHI2_Z,RHI3_X,RHI3_Y,RHI3_Z,RHI4_X,RHI4_Y,RHI4_Z,RHI5_X,RHI5_Y,RHI5_Z,RHI6_X,RHI6_Y,RHI6_Z,RTHI1_X,RTHI1_Y,RTHI1_Z,RIF1_X,RIF1_Y,RIF1_Z,RTF1_X,RTF1_Y,RTF1_Z,RRF1_X,RRF1_Y,RRF1_Z,RPF1_X,RPF1_Y,RPF1_Z,RTHI2_X,RTHI2_Y,RTHI2_Z,RIF2_X,RIF2_Y,RIF2_Z,RTF2_X,RTF2_Y,RTF2_Z,RRF2_X,RRF2_Y,RRF2_Z,RPF2_X,RPF2_Y,RPF2_Z,RTHI3_X,RTHI3_Y,RTHI3_Z,RIF3_X,RIF3_Y,RIF3_Z,RTF3_X,RTF3_Y,RTF3_Z,RRF3_X,RRF3_Y,RRF3_Z,RPF3_X,RPF3_Y,RPF3_Z
195.2713,-0.03654837,0.2321493,-0.0117063,-0.0316651,0.2525943,0.05308948,-0.05189522,0.2495846,0.05283482,-0.07022703,0.2411653,0.04763357,-0.08549072,0.2300123,0.0417906,-0.06679269,0.2176159,-0.006987782,0.0134669,0.2265669,0.01079813,-0.02846372,0.2670613,0.08993691,-0.05298288,0.2625655,0.09623726,-0.07764072,0.2529466,0.08710587,-0.09815171,0.2389847,0.07090151,0.03015837,0.231487,0.03685038,-0.02526643,0.259866,0.110845,-0.04718727,0.2535015,0.1207136,-0.07446035,0.24458,0.1114625,-0.09737327,0.2341616,0.08847229,0.0279962,0.2294785,0.05313104,-0.0236225,0.2492553,0.116557,-0.04221953,0.2421188,0.1263141,-0.06921329,0.2335475,0.1171064,-0.09112402,0.2252739,0.09429939
195.2776,-0.03654837,0.2321493,-0.0117063,-0.0316651,0.2525943,0.05308948,-0.05189522,0.2495846,0.05283482,-0.07022703,0.2411653,0.04763357,-0.08549072,0.2300123,0.0417906,-0.06679269,0.2176159,-0.006987782,0.0134669,0.2265669,0.01079813,-0.02846372,0.2670613,0.08993691,-0.05298288,0.2625655,0.09623726,-0.07764072,0.2529466,0.08710587,-0.09815171,0.2389847,0.07090151,0.03015837,0.231487,0.03685038,-0.02526643,0.259866,0.110845,-0.04718727,0.2535015,0.1207136,-0.07446035,0.24458,0.1114625,-0.09737327,0.2341616,0.08847229,0.0279962,0.2294785,0.05313104,-0.0236225,0.2492553,0.116557,-0.04221953,0.2421188,0.1263141,-0.06921329,0.2335475,0.1171064,-0.09112402,0.2252739,0.09429939
195.2887,-0.03654837,0.2321493,-0.0117063,-0.0316651,0.2525943,0.05308948,-0.05189522,0.2495846,0.05283482,-0.07022703,0.2411653,0.04763357,-0.08549072,0.2300123,0.0417906,-0.06679269,0.2176159,-0.006987782,0.0134669,0.2265669,0.01079813,-0.02846372,0.2670613,0.08993691,-0.05298288,0.2625655,0.09623726,-0.07764072,0.2529466,0.08710587,-0.09815171,0.2389847,0.07090151,0.03015837,0.231487,0.03685038,-0.02526643,0.259866,0.110845,-0.04718727,0.2535015,0.1207136,-0.07446035,0.24458,0.1114625,-0.09737327,0.2341616,0.08847229,0.0279962,0.2294785,0.05313104,-0.0236225,0.2492553,0.116557,-0.04221953,0.2421188,0.1263141,-0.06921329,0.2335475,0.1171064,-0.09112402,0.2252739,0.09429939
195.2998,-0.03654837,0.2321493,-0.0117063,-0.0316651,0.2525943,0.05308948,-0.05189522,0.2495846,0.05283482,-0.07022703,0.2411653,0.04763357,-0.08549072,0.2300123,0.0417906,-0.06679269,0.2176159,-0.006987782,0.0134669,0.2265669,0.01079813,-0.02846372,0.2670613,0.08993691,-0.05298288,0.2625655,0.09623726,-0.07764072,0.2529466,0.08710587,-0.09815171,0.2389847,0.07090151,0.03015837,0.231487,0.03685038,-0.02526643,0.259866,0.110845,-0.04718727,0.2535015,0.1207136,-0.07446035,0.24458,0.1114625,-0.09737327,0.2341616,0.08847229,0.0279962,0.2294785,0.05313104,-0.0236225,0.2492553,0.116557,-0.04221953,0.2421188,0.1263141,-0.06921329,0.2335475,0.1171064,-0.09112402,0.2252739,0.09429939
195.3109,-0.03654837,0.2321493,-0.0117063,-0.0316651,0.2525943,0.05308948,-0.05189522,0.2495846,0.05283482,-0.07022703,0.2411653,0.04763357,-0.08549072,0.2300123,0.0417906,-0.06679269,0.2176159,-0.006987782,0.0134669,0.2265669,0.01079813,-0.02846372,0.2670613,0.08993691,-0.05298288,0.2625655,0.09623726,-0.07764072,0.2529466,0.08710587,-0.09815171,0.2389847,0.07090151,0.03015837,0.231487,0.03685038,-0.02526643,0.259866,0.110845,-0.04718727,0.2535015,0.1207136,-0.07446035,0.24458,0.1114625,-0.09737327,0.2341616,0.08847229,0.0279962,0.2294785,0.05313104,-0.0236225,0.2492553,0.116557,-0.04221953,0.2421188,0.1263141,-0.06921329,0.2335475,0.1171064,-0.09112402,0.2252739,0.09429939
195.3176,-0.03626358,0.2322189,-0.0117543,-0.03141639,0.2526947,0.05303444,-0.05164679,0.2496914,0.05276634,-0.06997686,0.2412758,0.04755774,-0.08524003,0.2301238,0.04171459,-0.06651382,0.2176965,-0.007045117,0.01372908,0.2267249,0.0107486,-0.02814832,0.2671743,0.08986206,-0.05271346,0.2626537,0.09616116,-0.07739006,0.253086,0.08700847,-0.09794127,0.2391105,0.07079749,0.03043461,0.2317245,0.03677277,-0.02494672,0.2599099,0.110739,-0.04689677,0.2535237,0.1205998,-0.07418908,0.2446952,0.1113456,-0.09715753,0.2342705,0.08835995,0.0282916,0.2297452,0.05305715,-0.02332709,0.2492744,0.1164037,-0.0419292,0.2421106,0.1261295,-0.06892944,0.2336445,0.1169333,-0.09088918,0.225373,0.09414899
195.3331,-0.03626358,0.2322189,-0.0117543,-0.03141639,0.2526947,0.05303444,-0.05164679,0.2496914,0.05276634,-0.06997686,0.2412758,0.04755774,-0.08524003,0.2301238,0.04171459,-0.06651382,0.2176965,-0.007045117,0.01372908,0.2267249,0.0107486,-0.02814832,0.2671743,0.08986206,-0.05271346,0.2626537,0.09616116,-0.07739006,0.253086,0.08700847,-0.09794127,0.2391105,0.07079749,0.03043461,0.2317245,0.03677277,-0.02494672,0.2599099,0.110739,-0.04689677,0.2535237,0.1205998,-0.07418908,0.2446952,0.1113456,-0.09715753,0.2342705,0.08835995,0.0282916,0.2297452,0.05305715,-0.02332709,0.2492744,0.1164037,-0.0419292,0.2421106,0.1261295,-0.06892944,0.2336445,0.1169333,-0.09088918,0.225373,0.09414899
195.3376,-0.03620571,0.2322492,-0.01176618,-0.0313067,0.2527071,0.05302433,-0.05153968,0.2497189,0.05276314,-0.06987973,0.24132,0.04756515,-0.08515868,0.2301842,0.04172673,-0.06646876,0.2177499,-0.007045106,0.01379454,0.2267296,0.01066053,-0.02803785,0.2671843,0.08985787,-0.05263857,0.2626726,0.09616046,-0.0772938,0.2530994,0.08703249,-0.09786255,0.2391445,0.07082658,0.03053635,0.2317435,0.03665475,-0.02487071,0.2599274,0.1107449,-0.04685298,0.2535387,0.1206055,-0.07409246,0.2446635,0.1113591,-0.09707465,0.2342687,0.08838525,0.02839274,0.2297803,0.05293905,-0.02327844,0.2492947,0.1164242,-0.04189668,0.2421122,0.126118,-0.06883835,0.2335995,0.1169322,-0.09081265,0.2253588,0.09416874
195.3554,-0.03620571,0.2322492,-0.01176618,-0.0313067,0.2527071,0.05302433,-0.05153968,0.2497189,0.05276314,-0.06987973,0.24132,0.04756515,-0.08515868,0.2301842,0.04172673,-0.06646876,0.2177499,-0.007045106,0.01379454,0.2267296,0.01066053,-0.02803785,0.2671843,0.08985787,-0.05263857,0.2626726,0.09616046,-0.0772938,0.2530994,0.08703249,-0.09786255,0.2391445,0.07082658,0.03053635,0.2317435,0.03665475,-0.02487071,0.2599274,0.1107449,-0.04685298,0.2535387,0.1206055,-0.07409246,0.2446635,0.1113591,-0.09707465,0.2342687,0.08838525,0.02839274,0.2297803,0.05293905,-0.02327844,0.2492947,0.1164242,-0.04189668,0.2421122,0.126118,-0.06883835,0.2335995,0.1169322,-0.09081265,0.2253588,0.09416874
195.3665,-0.03620571,0.2322492,-0.01176618,-0.0313067,0.2527071,0.05302433,-0.05153968,0.2497189,0.05276314,-0.06987973,0.24132,0.04756515,-0.08515868,0.2301842,0.04172673,-0.06646876,0.2177499,-0.007045106,0.01379454,0.2267296,0.01066053,-0.02803785,0.2671843,0.08985787,-0.05263857,0.2626726,0.09616046,-0.0772938,0.2530994,0.08703249,-0.09786255,0.2391445,0.07082658,0.03053635,0.2317435,0.03665475,-0.02487071,0.2599274,0.1107449,-0.04685298,0.2535387,0.1206055,-0.07409246,0.2446635,0.1113591,-0.09707465,0.2342687,0.08838525,0.02839274,0.2297803,0.05293905,-0.02327844,0.2492947,0.1164242,-0.04189668,0.2421122,0.126118,-0.06883835,0.2335995,0.1169322,-0.09081265,0.2253588,0.09416874
